canonical_region_id,geometry_feature_id,legacy_region_id,geometry_source_id,geometry_source_name,geometry_snapshot_name,official_current_name_verified,region_type,current_province_id_verified,geometry_snapshot_province,kemendagri_code_verified,bps_code_verified,aliases,valid_from,valid_to,status,match_status,ambiguity_reason,geometry_boundary_version,metadata_source_version,source_access_date,notes
idn-adm2-gb-22746128b65593111718524,gb-22746128B65593111718524,gb-22746128B65593111718524,22746128B65593111718524,Aceh Barat,Kabupaten Aceh Barat,,Kabupaten,,Aceh,,,,2020-01-01,,geometry_snapshot_metadata_only,matched_unique_name,,IDN-ADM2-2020-geoboundaries-22746128,HDX-COD-AB-2020-geometry-metadata,2026-07-12,Metadata values are retained as 2020 geometry-snapshot metadata only; current official name/province/code fields stay blank until row-level evidence is committed.
idn-adm2-gb-22746128b227561513795,gb-22746128B227561513795,gb-22746128B227561513795,22746128B227561513795,Aceh Barat Daya,Kabupaten Aceh Barat Daya,,Kabupaten,,Aceh,,,,2020-01-01,,geometry_snapshot_metadata_only,matched_unique_name,,IDN-ADM2-2020-geoboundaries-22746128,HDX-COD-AB-2020-geometry-metadata,2026-07-12,Metadata values are retained as 2020 geometry-snapshot metadata only; current official name/province/code fields stay blank until row-level evidence is committed.
idn-adm2-gb-22746128b90547447297479,gb-22746128B90547447297479,gb-22746128B90547447297479,22746128B90547447297479,Aceh Besar,Kabupaten Aceh Besar,,Kabupaten,,Aceh,,,,2020-01-01,,geometry_snapshot_metadata_only,matched_unique_name,,IDN-ADM2-2020-geoboundaries-22746128,HDX-COD-AB-2020-geometry-metadata,2026-07-12,Metadata values are retained as 2020 geometry-snapshot metadata only; current official name/province/code fields stay blank until row-level evidence is committed.
idn-adm2-gb-22746128b21424895456858,gb-22746128B21424895456858,gb-22746128B21424895456858,22746128B21424895456858,Aceh Jaya,Kabupaten Aceh Jaya,,Kabupaten,,Aceh,,,,2020-01-01,,geometry_snapshot_metadata_only,matched_unique_name,,IDN-ADM2-2020-geoboundaries-22746128,HDX-COD-AB-2020-geometry-metadata,2026-07-12,Metadata values are retained as 2020 geometry-snapshot metadata only; current official name/province/code fields stay blank until row-level evidence is committed.
idn-adm2-gb-22746128b12428400263117,gb-22746128B12428400263117,gb-22746128B12428400263117,22746128B12428400263117,Aceh Selatan,Kabupaten Aceh Selatan,,Kabupaten,,Aceh,,,,2020-01-01,,geometry_snapshot_metadata_only,matched_unique_name,,IDN-ADM2-2020-geoboundaries-22746128,HDX-COD-AB-2020-geometry-metadata,2026-07-12,Metadata values are retained as 2020 geometry-snapshot metadata only; current official name/province/code fields stay blank until row-level evidence is committed.
idn-adm2-gb-22746128b17710719872214,gb-22746128B17710719872214,gb-22746128B17710719872214,22746128B17710719872214,Aceh Singkil,Kabupaten Aceh Singkil,,Kabupaten,,Aceh,,,,2020-01-01,,geometry_snapshot_metadata_only,matched_unique_name,,IDN-ADM2-2020-geoboundaries-22746128,HDX-COD-AB-2020-geometry-metadata,2026-07-12,Metadata values are retained as 2020 geometry-snapshot metadata only; current official name/province/code fields stay blank until row-level evidence is committed.
idn-adm2-gb-22746128b57620394058931,gb-22746128B57620394058931,gb-22746128B57620394058931,22746128B57620394058931,Aceh Tamiang,Kabupaten Aceh Tamiang,,Kabupaten,,Aceh,,,,2020-01-01,,geometry_snapshot_metadata_only,matched_unique_name,,IDN-ADM2-2020-geoboundaries-22746128,HDX-COD-AB-2020-geometry-metadata,2026-07-12,Metadata values are retained as 2020 geometry-snapshot metadata only; current official name/province/code fields stay blank until row-level evidence is committed.
idn-adm2-gb-22746128b89023327523654,gb-22746128B89023327523654,gb-22746128B89023327523654,22746128B89023327523654,Aceh Tengah,Kabupaten Aceh Tengah,,Kabupaten,,Aceh,,,,2020-01-01,,geometry_snapshot_metadata_only,matched_unique_name,,IDN-ADM2-2020-geoboundaries-22746128,HDX-COD-AB-2020-geometry-metadata,2026-07-12,Metadata values are retained as 2020 geometry-snapshot metadata only; current official name/province/code fields stay blank until row-level evidence is committed.
idn-adm2-gb-22746128b65780821536148,gb-22746128B65780821536148,gb-22746128B65780821536148,22746128B65780821536148,Aceh Tenggara,Kabupaten Aceh Tenggara,,Kabupaten,,Aceh,,,,2020-01-01,,geometry_snapshot_metadata_only,matched_unique_name,,IDN-ADM2-2020-geoboundaries-22746128,HDX-COD-AB-2020-geometry-metadata,2026-07-12,Metadata values are retained as 2020 geometry-snapshot metadata only; current official name/province/code fields stay blank until row-level evidence is committed.
idn-adm2-gb-22746128b94735591859977,gb-22746128B94735591859977,gb-22746128B94735591859977,22746128B94735591859977,Aceh Timur,Kabupaten Aceh Timur,,Kabupaten,,Aceh,,,,2020-01-01,,geometry_snapshot_metadata_only,matched_unique_name,,IDN-ADM2-2020-geoboundaries-22746128,HDX-COD-AB-2020-geometry-metadata,2026-07-12,Metadata values are retained as 2020 geometry-snapshot metadata only; current official name/province/code fields stay blank until row-level evidence is committed.
