legacy_region_id,canonical_region_id,geometry_feature_id,mapping_status,boundary_version_from,boundary_version_to,requires_user_review,notes
gb-22746128B65593111718524,idn-adm2-gb-22746128b65593111718524,gb-22746128B65593111718524,remapped_to_canonical_id,IDN-ADM2-2020-CODAB-geoboundaries,IDN-ADM2-2020-geoboundaries-22746128,no,Adapter maps legacy geometry ID to canonical stable ID; geometry ID is unchanged in GeoJSON for compatibility.
gb-22746128B227561513795,idn-adm2-gb-22746128b227561513795,gb-22746128B227561513795,remapped_to_canonical_id,IDN-ADM2-2020-CODAB-geoboundaries,IDN-ADM2-2020-geoboundaries-22746128,no,Adapter maps legacy geometry ID to canonical stable ID; geometry ID is unchanged in GeoJSON for compatibility.
gb-22746128B90547447297479,idn-adm2-gb-22746128b90547447297479,gb-22746128B90547447297479,remapped_to_canonical_id,IDN-ADM2-2020-CODAB-geoboundaries,IDN-ADM2-2020-geoboundaries-22746128,no,Adapter maps legacy geometry ID to canonical stable ID; geometry ID is unchanged in GeoJSON for compatibility.
gb-22746128B21424895456858,idn-adm2-gb-22746128b21424895456858,gb-22746128B21424895456858,remapped_to_canonical_id,IDN-ADM2-2020-CODAB-geoboundaries,IDN-ADM2-2020-geoboundaries-22746128,no,Adapter maps legacy geometry ID to canonical stable ID; geometry ID is unchanged in GeoJSON for compatibility.
gb-22746128B12428400263117,idn-adm2-gb-22746128b12428400263117,gb-22746128B12428400263117,remapped_to_canonical_id,IDN-ADM2-2020-CODAB-geoboundaries,IDN-ADM2-2020-geoboundaries-22746128,no,Adapter maps legacy geometry ID to canonical stable ID; geometry ID is unchanged in GeoJSON for compatibility.
gb-22746128B17710719872214,idn-adm2-gb-22746128b17710719872214,gb-22746128B17710719872214,remapped_to_canonical_id,IDN-ADM2-2020-CODAB-geoboundaries,IDN-ADM2-2020-geoboundaries-22746128,no,Adapter maps legacy geometry ID to canonical stable ID; geometry ID is unchanged in GeoJSON for compatibility.
gb-22746128B57620394058931,idn-adm2-gb-22746128b57620394058931,gb-22746128B57620394058931,remapped_to_canonical_id,IDN-ADM2-2020-CODAB-geoboundaries,IDN-ADM2-2020-geoboundaries-22746128,no,Adapter maps legacy geometry ID to canonical stable ID; geometry ID is unchanged in GeoJSON for compatibility.
gb-22746128B89023327523654,idn-adm2-gb-22746128b89023327523654,gb-22746128B89023327523654,remapped_to_canonical_id,IDN-ADM2-2020-CODAB-geoboundaries,IDN-ADM2-2020-geoboundaries-22746128,no,Adapter maps legacy geometry ID to canonical stable ID; geometry ID is unchanged in GeoJSON for compatibility.
gb-22746128B65780821536148,idn-adm2-gb-22746128b65780821536148,gb-22746128B65780821536148,remapped_to_canonical_id,IDN-ADM2-2020-CODAB-geoboundaries,IDN-ADM2-2020-geoboundaries-22746128,no,Adapter maps legacy geometry ID to canonical stable ID; geometry ID is unchanged in GeoJSON for compatibility.
gb-22746128B94735591859977,idn-adm2-gb-22746128b94735591859977,gb-22746128B94735591859977,remapped_to_canonical_id,IDN-ADM2-2020-CODAB-geoboundaries,IDN-ADM2-2020-geoboundaries-22746128,no,Adapter maps legacy geometry ID to canonical stable ID; geometry ID is unchanged in GeoJSON for compatibility.
gb-22746128B43339434023645,idn-adm2-gb-22746128b43339434023645,gb-22746128B43339434023645,remapped_to_canonical_id,IDN-ADM2-2020-CODAB-geoboundaries,IDN-ADM2-2020-geoboundaries-22746128,no,Adapter maps legacy geometry ID to canonical stable ID; geometry ID is unchanged in GeoJSON for compatibility.
gb-22746128B89220130199878,idn-adm2-gb-22746128b89220130199878,gb-22746128B89220130199878,remapped_to_canonical_id,IDN-ADM2-2020-CODAB-geoboundaries,IDN-ADM2-2020-geoboundaries-22746128,no,Adapter maps legacy geometry ID to canonical stable ID; geometry ID is unchanged in GeoJSON for compatibility.
gb-22746128B1117135414899,idn-adm2-gb-22746128b1117135414899,gb-22746128B1117135414899,remapped_to_canonical_id,IDN-ADM2-2020-CODAB-geoboundaries,IDN-ADM2-2020-geoboundaries-22746128,no,Adapter maps legacy geometry ID to canonical stable ID; geometry ID is unchanged in GeoJSON for compatibility.
